Name,Year,Type,Mass (g),Fall,Latitude,Longitude
Colby (Wisconsin),1917-01-01T00:00:00.000,L6,,Fell,44.900000,-90.283330
Cold Bokkeveld,1838-01-01T00:00:00.000,CM2,,Fell,-33.133330,19.383330
Coleman,1994-01-01T00:00:00.000,L6,,Fell,43.761110,-84.507780
Collescipoli,1890-01-01T00:00:00.000,H5,,Fell,42.533330,12.616670
Conquista,1965-01-01T00:00:00.000,H4,,Fell,-19.850000,-47.550000
Cosina,1844-01-01T00:00:00.000,H5,,Fell,21.166670,-100.866670
Cranganore,1917-01-01T00:00:00.000,L6,,Fell,10.200000,76.266670
Crescent,1936-01-01T00:00:00.000,CM2,,Fell,35.950000,-97.583330
Cronstad,1877-01-01T00:00:00.000,H5,,Fell,-27.700000,27.300000
Cross Roads,1892-01-01T00:00:00.000,H5,,Fell,35.633330,-78.133330
Crumlin,1902-01-01T00:00:00.000,L5,,Fell,54.616670,-6.216670
Cumberland Falls,1919-01-01T00:00:00.000,Aubrite,,Fell,36.833330,-84.350000
Cynthiana,1877-01-01T00:00:00.000,L/LL4,,Fell,38.400000,-84.250000
Dahmani,1981-01-01T00:00:00.000,LL6,,Fell,35.616670,8.833330
Dandapur,1878-01-01T00:00:00.000,L6,,Fell,26.916670,83.966670
Daniel's Kuil,1868-01-01T00:00:00.000,EL6,,Fell,-28.200000,24.566670
Danville,1868-01-01T00:00:00.000,L6,,Fell,34.400000,-87.066670
Darmstadt,1804-01-01T00:00:00.000,H5,,Fell,49.866670,8.650000
Dashoguz,1998-01-01T00:00:00.000,H5,,Fell,41.984440,59.685000
Daule,2008-01-01T00:00:00.000,L5,,Fell,-1.870890,-79.957560
De Cewsville,1887-01-01T00:00:00.000,H6,,Fell,43.000000,-80.000000
Deal,1829-01-01T00:00:00.000,L6,,Fell,40.250000,-74.000000
Delhi,1897-01-01T00:00:00.000,L5,,Fell,28.566670,77.250000
Demina,1911-01-01T00:00:00.000,L6,,Fell,51.466670,84.766670
Denver,1967-01-01T00:00:00.000,L6,,Fell,39.782500,-104.930560
Dergaon,2001-01-01T00:00:00.000,H5,,Fell,26.683330,93.866670
